"Description: ","Linear trend statistics"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
Indices,Frequency,Start Year,End Year,Lower bound,Trend,Upper bound
EHF.HWN,annual,1936,2015,0,0.0168079096045198,0.0333333333333333
EHF.HWD,annual,1936,2015,0,0,0.032258064516129
EHF.HWF,annual,1936,2015,0,0.0714285714285714,0.136363636363636
ECF.HWM,annual,1936,2015,-0.000573995484682169,0.00777821306360708,0.0164992213237497
ECF.HWA,annual,1936,2015,0.0156076388888889,0.0467565011820332,0.0733043981481482
ECF.HWN,annual,1936,2015,-0.0588235294117647,-0.0476190476190476,-0.0333333333333333
ECF.HWD,annual,1936,2015,-0.09375,-0.0625,-0.0333333333333333
ECF.HWF,annual,1936,2015,-0.333333333333333,-0.269230769230769,-0.2
spei3,FEB,1936,2015,-0.00996170269491201,0.000178159081724317,0.010630722839499
spei3,MAY,1936,2015,-0.0108718659951433,-0.000435134217915497,0.0101171538512632
spei3,AUG,1936,2015,-0.0133218771692877,-0.000921910912040393,0.00945417509178749
spei3,NOV,1936,2015,-0.009310454493698,0.00194954277172676,0.0117082265739004
spei6,APR,1936,2015,-0.00880167972165147,0.000669372199321937,0.0112843365356366
spei6,OCT,1936,2015,-0.014594609700309,-0.00237096031407089,0.00847089187728318
spei12,JUN,1936,2015,-0.0123426564052869,-0.000464606997328386,0.0103215996281874
spei12,DEC,1936,2015,-0.0106006967541206,-0.000467530795240862,0.00940615322462478
spi3,FEB,1936,2015,-0.00945891054938069,0.000290910252887084,0.00995176486694039
spi3,MAY,1936,2015,-0.00927515001871933,0.000949602675827266,0.0103673116820426
spi3,AUG,1936,2015,-0.0110875187848774,0.000803054774211446,0.0109250300260381
spi3,NOV,1936,2015,-0.0071583160424081,0.00426235188960595,0.0124804713599519
spi6,APR,1936,2015,-0.00730259501340711,0.00129720538766595,0.0106371593754725
spi6,OCT,1936,2015,-0.0113729372306211,0.000249663897195112,0.0111123025310682
spi12,JUN,1936,2015,-0.0102279417037732,0.00136002566384588,0.0107896274853472
spi12,DEC,1936,2015,-0.00902941152149622,0.00135760405797032,0.0109885352847097
tmm,annual,1936,2015,0.0162919225318847,0.0192959541255177,0.0221702161474889
tmm,monthly,1936,2015,0.000760560320962204,0.00153678904205309,0.00228786724240115
tmm,DJF,1936,2015,0.0118652539217056,0.0193912260459632,0.0254438037728995
tmm,MAM,1936,2015,0.0115260545905706,0.0167869374751095,0.0217559686531802
tmm,JJA,1936,2015,0.0122942703221444,0.0161897152528873,0.0202794069729554
tmm,SON,1936,2015,0.0168616487455196,0.0226542033833232,0.0290458200135619
txm,annual,1936,2015,0.0148410896935487,0.0185677016188282,0.0222839226637483
txm,monthly,1936,2015,0.000774494322881419,0.00152394896605331,0.0022685185185185
txm,DJF,1936,2015,0.00842786246012056,0.017653314427508,0.0248331479421579
txm,MAM,1936,2015,0.0119805757891086,0.0172598932045936,0.0230328681461145
txm,JJA,1936,2015,0.0125928059395801,0.0182719903726148,0.0239585822381522
txm,SON,1936,2015,0.013277329749104,0.0211610194215221,0.0287279244053438
tnm,annual,1936,2015,0.0166635089048882,0.0198679576698576,0.0227397260273973
tnm,monthly,1936,2015,0.000683730715287517,0.00151072594019152,0.00232974910394266
tnm,DJF,1936,2015,0.0151161674347159,0.0210354993336084,0.0266173835125448
tnm,MAM,1936,2015,0.00955555555555554,0.0155211132436418,0.0217426181942311
tnm,JJA,1936,2015,0.0110093822475227,0.015586075115645,0.020302787139571
tnm,SON,1936,2015,0.0191556495681297,0.0250769555133882,0.0302899967416097
TNgt0,annual,1936,2015,0,0,0
TNgt0,monthly,1936,2015,0,0,0
TNgt0,DJF,1936,2015,0,0,0
TNgt0,MAM,1936,2015,0,0,0
TNgt0,JJA,1936,2015,0,0,0
TNgt0,SON,1936,2015,0,0,0
