tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
21.6, 22.1366666666667, 26, 31.1633333333333, 34.015, 15.655, 16.4, 19.75, 22.1266666666667, 23.13, 19.185, 19.95, 23.25, 26.3816666666667, 27.5725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.2033333333333, 30.4066666666667, 26.15
21.685, 22.2366666666667, 25.95, 31.6066666666667, 35.135, 15.67, 16.6366666666667, 19.8, 22.1633333333333, 23.1, 19.3275, 19.95, 22.85, 26.4633333333333, 28.0075, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1933333333333, 29.9933333333333, 25.9466666666667
21.675, 22.3, 25.9, 29.1833333333333, 32.925, 15.8, 16.7, 19.85, 21.8833333333333, 22.725, 19.3125, 20, 22.85, 25.4833333333333, 26.9625, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 29.8933333333333, 25.8466666666667
22.025, 22.5333333333333, 26, 29.1, 32.65, 15.975, 16.6, 19.8, 21.9833333333333, 22.625, 19.4625, 20.0583333333333, 22.875, 25.3916666666667, 26.725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.8, 25.75
22.4, 23, 26.15, 29.5, 32.05, 16.275, 16.7, 19.8, 22.2833333333333, 22.75, 19.9625, 20.3083333333333, 23.075, 25.525, 26.6625, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.8, 25.7416666666667
22.4, 22.8333333333333, 26.3, 29.0333333333333, 30.85, 16.175, 16.9166666666667, 19.8, 22.1833333333333, 22.9, 19.9625, 20.3083333333333, 23.075, 25.4, 26.6625, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.8, 25.75
22.475, 23.0166666666667, 26.3, 29.4, 30.8, 16.175, 16.7166666666667, 19.8, 22.2, 23.025, 20.0375, 20.3, 23.15, 25.3916666666667, 26.4375, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.5, 25.5916666666667
22.485, 23.0366666666667, 26.3, 29.69, 30.8, 16.37, 16.9366666666667, 19.6, 22.2, 22.915, 20.05, 20.3183333333333, 22.9, 25.4633333333333, 26.4225, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.2033333333333, 25.3516666666667
22.195, 23, 26.3, 29.9266666666667, 30.83, 16.285, 17.2366666666667, 19.5, 21.8633333333333, 22.56, 20.0425, 20.35, 22.8, 25.4633333333333, 26.4225, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.8033333333333, 29.1033333333333, 25.25
21.6, 22.8, 26.2, 29.2266666666667, 30.715, 15.8, 17.1366666666667, 19.5, 21.8633333333333, 22.515, 20.0425, 20.3183333333333, 22.55, 25.25, 26.1875, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.9, 29.0033333333333, 25.2
21.77, 23, 26.2, 29.6533333333333, 30.715, 15.585, 16.8733333333333, 19.4, 21.9633333333333, 22.245, 19.985, 20.3183333333333, 22.55, 25.25, 25.9725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.8, 29, 25.2
21.685, 22.6, 26.1, 29, 30.715, 15.6, 17.1366666666667, 19.4, 21.8266666666667, 22.215, 19.8775, 20.3683333333333, 22.55, 25.2316666666667, 25.865, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.8, 29.1133333333333, 25.25
21.7, 22.7166666666667, 25.9, 28.6833333333333, 30.4, 15.6, 16.8166666666667, 19.4, 21.65, 22.375, 19.8625, 20.4, 22.5, 25.1166666666667, 25.875, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.7033333333333, 29.1033333333333, 25.25
22.075, 22.7166666666667, 25.6, 28.5, 29.325, 15.675, 16.5166666666667, 19.4, 21.6833333333333, 22.225, 19.8625, 20.4, 22.4, 24.675, 25.4375, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.7, 29.0033333333333, 25.2
22.075, 23.0333333333333, 25.9, 28.6, 30.025, 15.775, 16.7166666666667, 19.2, 21.6, 22.05, 19.8625, 20.4083333333333, 22.625, 24.6666666666667, 25.5125, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.6, 28.7, 25
22.38, 23, 26, 28.6, 29.72, 16.35, 16.9, 19.1, 21.6, 22.03, 19.855, 20.5033333333333, 22.45, 24.4966666666667, 25.535, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.6, 28.7033333333333, 25.0016666666667
22.38, 23.0133333333333, 25.9, 28.8866666666667, 30.93, 16.41, 16.9, 19, 21.6, 22.03, 19.84, 20.55, 22.45, 24.93, 26.155, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.5, 28.7, 25
22.5, 23, 25.9, 28.7, 30.7, 16, 16.7166666666667, 18.9, 21.5, 21.925, 19.6, 20.4166666666667, 22.375, 24.6916666666667, 25.7125, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.4, 28.7, 24.9516666666667
21.275, 23, 26, 28.7, 31.175, 15.675, 16.5166666666667, 18.9, 21.3833333333333, 21.925, 19.075, 20.1083333333333, 22.45, 25, 26.1375, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.4033333333333, 28.6033333333333, 24.8
21.275, 22.3333333333333, 25.95, 28.6, 30.625, 15.6, 16.4166666666667, 18.95, 21.1, 21.9, 18.9125, 19.9, 22.425, 24.9666666666667, 25.6, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.4, 28.7, 24.8
21.16, 22, 25.9, 28.5733333333333, 30.62, 15.68, 16.4, 19, 21, 21.82, 18.92, 19.8266666666667, 22.4, 24.9466666666667, 25.6, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.4, 28.7, 24.7033333333333
21.38, 22.1266666666667, 25.8, 28.4733333333333, 29.86, 15.56, 16.4, 19, 21, 21.64, 18.99, 19.8266666666667, 22.2, 24.7733333333333, 25.61, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.2033333333333, 28.7, 24.6516666666667
21.385, 22.1, 25.6, 28.6633333333333, 29.715, 15.57, 16.4, 19.1, 21.1633333333333, 22.115, 18.8425, 19.9, 22.25, 24.9266666666667, 25.5225, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.2, 28.7, 24.65
21.4, 22.2366666666667, 25.35, 28.7, 29.715, 15.6, 16.7366666666667, 19, 21.2, 22.215, 19.0425, 19.9366666666667, 22.175, 24.9583333333333, 25.415, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.2, 28.7, 24.65
21.14, 22.2733333333333, 25.2, 28.9266666666667, 29.715, 15.485, 16.51, 18.9, 21.2, 22.115, 19.02, 19.7683333333333, 22.05, 24.9216666666667, 25.3725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.1, 28.7, 24.6333333333333
20.7, 22.1366666666667, 25.1, 29.0633333333333, 30.1, 15.085, 15.7366666666667, 18.7, 21.2, 22.115, 18.8, 19.455, 21.9, 24.8266666666667, 25.3725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21, 28.6733333333333, 24.55
20.57, 21.3366666666667, 25.05, 28.6633333333333, 29.76, 14.985, 15.6, 18.35, 21.0633333333333, 21.715, 18.0425, 18.8866666666667, 21.575, 24.595, 25.13, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.9733333333333, 28.7, 24.4366666666667
20.57, 21.3366666666667, 25.1, 28.6633333333333, 30.115, 14.54, 15.2366666666667, 18.25, 20.8, 21.515, 17.885, 18.8183333333333, 21.55, 24.3766666666667, 25.13, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.9, 28.7, 24.3816666666667
20.185, 21.3366666666667, 25.25, 29, 30.115, 13.955, 15.0366666666667, 18.15, 20.8, 21.5, 17.785, 18.35, 21.65, 24.1316666666667, 25.0875, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.9, 28.7, 24.3316666666667
20.97, 21.6366666666667, 25.3, 28.4633333333333, 29.93, 13.7, 14.6733333333333, 18.2, 20.8633333333333, 21.415, 17.6925, 18.1916666666667, 21.925, 24.05, 24.7075, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.8, 28.7, 24.3
21.285, 22.2, 25.45, 28.5, 29.19, 13.7, 14.6366666666667, 18.2, 20.8633333333333, 21.33, 17.9, 18.6866666666667, 21.975, 24, 24.3375, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.8, 28.6633333333333, 24.3
21.555, 22.2, 25.5, 28.9633333333333, 29.93, 13.7, 14.6, 18.35, 20.8266666666667, 21.5, 18.0925, 18.95, 22, 24.05, 24.7075, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.8, 28.6, 24.25
21.285, 22.2, 25.4, 28.9633333333333, 29.915, 14.04, 14.7, 18.35, 20.7, 21.33, 18.605, 19, 21.95, 24.05, 24.5725, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.7, 28.6, 24.1
21.3, 22.2, 25.4, 28.5, 29.815, 14.285, 14.9466666666667, 18.4, 20.6633333333333, 21.115, 18.6925, 19.0183333333333, 21.95, 24.0316666666667, 24.7075, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.6633333333333, 28.6, 24.0816666666667
21.285, 22.3466666666667, 25.4, 28.6, 30.015, 14.47, 15.2366666666667, 18.3, 20.5, 20.915, 18.7425, 19.1233333333333, 21.875, 23.9266666666667, 25.0225, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.6, 28.6, 24.05
21.27, 22.4, 25.25, 28.5633333333333, 30.415, 14.6, 15.5366666666667, 18.45, 20.5, 21.215, 18.7425, 19.3, 21.8, 24.3133333333333, 25.15, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.6, 28.5, 23.9816666666667
21.455, 22.7366666666667, 25.2, 28.1633333333333, 29.745, 15.085, 15.6, 18.6, 20.6, 21.215, 18.735, 19.605, 21.85, 23.945, 25.15, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.5633333333333, 28.4633333333333, 23.9316666666667
21.94, 22.9366666666667, 25.2, 28.2633333333333, 29.99, 14.47, 15.4733333333333, 18.6, 20.6, 21.215, 18.6425, 19.605, 21.9, 23.8816666666667, 25.1575, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.5633333333333, 28.5633333333333, 23.9816666666667
21.585, 22.6366666666667, 25.1, 28.5266666666667, 30.53, 14.6, 15.4733333333333, 18.55, 20.6, 20.945, 18.735, 19.4866666666667, 21.7, 24.1816666666667, 25.15, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.5633333333333, 28.5, 23.95
21.455, 22.4733333333333, 24.95, 29, 30.815, 14.855, 15.6, 18.45, 20.6, 21.03, 18.735, 19.4183333333333, 21.6, 24.295, 25.39, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.5, 28.6, 23.9316666666667
21.17, 22.4733333333333, 24.8, 28.78, 30.445, 14.6, 15.5366666666667, 18.3, 20.6, 20.915, 18.6425, 19.3, 21.5, 23.8133333333333, 25.0025, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.4633333333333, 28.5633333333333, 23.8316666666667
20.885, 21.71, 24.5, 28.1633333333333, 29.975, 14.555, 15.3, 17.9, 20.3, 20.73, 18.3925, 19.1683333333333, 21, 23.65, 24.615, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.4, 28.4, 23.7
20.885, 21.8366666666667, 24.5, 28.5266666666667, 30.445, 14.77, 15.3366666666667, 17.7, 20.3633333333333, 20.9, 18.3925, 19.2, 20.9, 23.65, 24.7375, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.4, 28.4, 23.7
20.785, 21.9466666666667, 24.7, 28.3266666666667, 30.445, 14.885, 15.4366666666667, 17.6, 20.2, 21.03, 18.3925, 19.1683333333333, 20.95, 23.4633333333333, 25.0025, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.3, 28.4633333333333, 23.7
20.885, 21.9466666666667, 24.55, 28.4633333333333, 30.275, 14.555, 15.3, 17.4, 20.2, 21.03, 18.35, 19, 21.1, 23.6633333333333, 24.5875, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 20.2, 28.3633333333333, 23.65
21.185, 21.6733333333333, 24.6, 28.5633333333333, 30.115, 14.27, 15.3, 17.25, 20.29, 20.745, 18.2675, 19.055, 21.025, 23.6633333333333, 24.7575, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 19.8733333333333, 28.5633333333333, 23.5866666666667
21.285, 22.2733333333333, 24.7, 28.8266666666667, 30.275, 14.27, 15.0733333333333, 17.3, 19.8, 20.745, 18.32, 19.0183333333333, 21.15, 23.7, 24.7575, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 19.7733333333333, 28.5633333333333, 23.4866666666667
21.01, 22.0366666666667, 24.65, 28.6266666666667, 30.215, 13.87, 14.9, 17.3, 19.8, 20.745, 18.0675, 18.8683333333333, 21.075, 23.6816666666667, 24.58, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 19.6733333333333, 28.7, 23.4866666666667
20.3, 21.6, 24.4, 28.6266666666667, 30.115, 12.985, 14.1733333333333, 17.35, 19.7, 20.43, 17.1925, 18.3866666666667, 20.8, 23.5816666666667, 24.3225, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 19.6, 28.7, 23.3866666666667
