Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
NA, 17.2, 22.9, 33
NA, 16.1, 25.6, 1.3
NA, 18.1, 22.7, 3.8
NA, 17.8, 22.8, 0
NA, 15.7, 21.8, 0
NA, 16.9, 22.8, 0
NA, 15, 23.3, 0
NA, 15.4, 20.1, 0.8
NA, 11.9, 25.9, 0.3
NA, 14.1, 20.3, 0
NA, 15, 21.4, 0.5
NA, 14.2, 21.1, 0.3
NA, 13.6, 21.3, 2.3
NA, 13.1, 23.4, 0
NA, 13.9, 24.1, 0
NA, 13.3, 21.7, 0
NA, 15.3, 22.3, 0
NA, 16.2, 22.1, 0
NA, 15.9, 26.1, 0.5
NA, 13.9, 22.9, 4.3
NA, 12.9, 19.4, 0
NA, 11.9, 20.8, 0
NA, 10.7, 22.5, 0
NA, 10.4, 22.9, 0
NA, 12.2, 23.2, 0
NA, 12.2, 21.5, 0
NA, 12.8, 23.9, 0
NA, 13.5, 23.3, 0
NA, 12.4, 22.1, 0.3
NA, 12.9, 24.1, 0.3
NA, 12.1, 24, 0
NA, 14.4, 21.2, 0
NA, 13.4, 22.1, 0
NA, 14.5, 20.9, 0
NA, 14.7, 22.2, 0.5
NA, 14.4, 21.4, 0.3
NA, 15.2, 21.6, 0
NA, 15.4, 19, 1
NA, 12.3, 19.6, 3.3
NA, 9.1, 16.6, 0.5
NA, 10.2, 18.1, 12.2
NA, 10.1, 18.5, 5.3
NA, 11.2, 20.8, 0
NA, 13.3, 18.9, 0
NA, 8.8, 19.4, 0
NA, 11.6, 16.6, 0
NA, 9, 14.9, 1.5
NA, 9.9, 16, 15.2
NA, 12.2, 19, 11.9
NA, 9.4, 19.8, 0
NA, 12.8, 15.2, 4.8
NA, 12.7, 16.1, 11.7
NA, 10.6, 19.7, 1.5
NA, 9, 14.3, 0.3
NA, 11.2, 15.7, 6.6
NA, 11.9, 16, 5.1
NA, 11.7, 17.8, 3
NA, 11.8, 15.7, 6.4
NA, 9, 18.3, 3.8
NA, 8.7, 17.8, 0
NA, 10, 19, 0
NA, 11.2, 20.6, 0.3
NA, 12.1, 18.2, 1.3
NA, 12.3, 17.4, 5.1
NA, 11.6, 18.3, 17.8
NA, 9.6, 21.2, 0.3
NA, 9.3, 19.9, 0
NA, 8.3, 21.4, 0
NA, 10.6, 15, 0.8
NA, 5.7, 16.7, 0
NA, 8.9, 15, 6.9
NA, 8.4, 15.7, 0.8
NA, 11.2, 15.7, 0.8
NA, 11.1, 16.2, 8.4
NA, 8.6, 18.3, 0.3
NA, 9.2, 18.2, 0
NA, 9.5, 15.9, 1.3
NA, 7.4, 18.9, 0
NA, 8.7, 16.1, 0
NA, 8.3, 16.3, 13.7
NA, 9.2, 14.8, 44.2
NA, 10.1, 13.7, 10.2
NA, 9.9, 15.6, 0.8
NA, 8.2, 17.9, 0.3
NA, 10.3, 19.4, 0.3
NA, 7.4, 19.8, 0
NA, 10, 18.3, 0
NA, 12.2, 17.9, 0
NA, 9.8, 15.3, 0.3
NA, 5.8, 15.6, 0
NA, 6.8, 16.2, 0
NA, 6.9, 16.1, 0
NA, 8.4, 17.7, 0
NA, 6.1, 16.1, 0
NA, 7.2, 14.6, 0
NA, 6.6, 12.7, 0
NA, 6.7, 14.8, 0
NA, 6.3, 17.1, 0
NA, 8.2, 17.5, 0
NA, 7.9, 18.3, 0
NA, 9.8, 18.3, 0
NA, 11.4, 20, 0
NA, 12.2, 16.8, 0
NA, 8.4, 17.4, 0
NA, 6.7, 19.6, 0
NA, 8.9, 20.6, 0
NA, 8.3, 21.3, 0
NA, 11.2, 19.6, 0
NA, 8.6, 17.9, 0
NA, 9.4, 20, 0
NA, 7.9, 18.4, 0
NA, 7.3, 20.6, 0
NA, 9.5, 22.1, 0
NA, 7.6, 20.8, 0
NA, 7, 15.1, 0
NA, 8.4, 14.4, 2
NA, 9, 15.1, 1.3
NA, 10.1, 15.7, 0
NA, 9.8, 15.8, 0.5
NA, 8, 16.7, 1
NA, 8.2, 17.4, 0
NA, 10.7, 17.9, 1.3
NA, 9.3, 19.6, 0
NA, 10.3, 18.1, 0.3
NA, 9.6, 18.6, 3
NA, 10.1, 18.8, 0.3
NA, 9.4, 20.4, 0
NA, 12.8, 23, 0
NA, 13.4, 20.2, 0
NA, 9.9, 15.2, 0.3
NA, 9.9, 17.8, 0
NA, 8.9, 17.4, 0
NA, 7.8, 16.9, 0
NA, 9.8, 15.4, 0
NA, 9.5, 13.3, 2.8
NA, 10.2, 15.6, 19.6
NA, 7.1, 16.3, 2.5
NA, 8.8, 17.9, 0
NA, 8.1, 18.6, 0
NA, 8.2, 17.8, 0
NA, 7.4, 21.6, 0
NA, 10, 20.1, 0
NA, 8.3, 19.3, 0
NA, 10.5, 25.8, 0
NA, 15.1, 20.5, 0
NA, 12.1, 20.7, 0
NA, 11, 18.4, 0
NA, 12.6, 24, 1.3
NA, 13.3, 18.8, 1.3
NA, 9, 21.8, 0
NA, 13.1, 18.4, 0.3
NA, 13, 18.2, 0
NA, 8.5, 19, 0
NA, 9.7, 19.5, 0
NA, 10, 22.4, 0
NA, 12.5, 26.3, 0
NA, 19, 27.8, 0
NA, 13, 19.6, 2.3
NA, 7.8, 18.2, 0.3
NA, 8.3, 19.4, 0
NA, 10.2, 21.7, 0
NA, 14, 28, 0
NA, 11.5, 16.2, 0
NA, 8.4, 19.2, 0
NA, 9.1, 24.5, 0
NA, 11.2, 24, 0
NA, 11.2, 29.6, 0
NA, 16.5, 18.8, 0
NA, 9.6, 19.7, 0
NA, 10.8, 20.5, 0
NA, 13.8, 23.1, 0
NA, 15.6, 30.3, 0
NA, 13.4, 20.5, 0
NA, 12.6, 24.3, 0
NA, 13.3, 22, 0
NA, 15.2, 20.7, 0
NA, 17.3, 22.6, 0
NA, 15, 18.9, 0.3
NA, 13, 17.3, 6.4
NA, 13.3, 15.5, 4.1
NA, 12.9, 17.3, 7.1
NA, 10.7, 21, 0
NA, 10.7, 19.4, 0
NA, 11.7, 26, 0
NA, 16.6, 28.2, 0
