"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
1955-01, -0.586079693735088
1955-02, -0.374621599376549
1955-03, -0.160748336969848
1955-04, -0.0529006004066021
1955-05, -0.0481564138421277
1955-06, 0.126827105899014
1955-07, 0.0416053438770498
1955-08, -0.0228382398812799
1955-09, -0.0261702457210981
1955-10, -0.0893348057652533
1955-11, 0.251462903900864
1955-12, 0.646904309604336
1956-01, 0.616667001035997
1956-02, 1.07097145977333
1956-03, 1.60765433992187
1956-04, 1.63684607022863
1956-05, 1.84143131476609
1956-06, 2.00749211417367
1956-07, 1.95696504952082
1956-08, 2.09361563502186
1956-09, 2.0615341884965
1956-10, 1.98993294936113
1956-11, 1.80717087386126
1956-12, 1.72645496209406
1957-01, 1.46393795702302
1957-02, 1.07992148315689
1957-03, 0.915771574635761
1957-04, 0.830930701968966
1957-05, 0.275994407604848
1957-06, 0.121326602684657
1957-07, 0.262945150372997
1957-08, 0.497648863484337
1957-09, 0.478232173750169
1957-10, 0.424911918612305
1957-11, 0.0439417086872857
1957-12, -0.266120976964742
1958-01, -0.211629334906443
1958-02, -0.532419003046118
1958-03, -0.617782165880115
1958-04, -0.545617203399894
1958-05, -0.827313184145636
1958-06, -0.792424100120469
1958-07, -0.864323348425061
1958-08, -0.879602993204472
1958-09, -0.896194186710389
1958-10, -0.968146719319503
1958-11, -0.978304384104065
1958-12, -0.686301674117331
1959-01, -0.463824627077764
1959-02, -0.17142643384795
1959-03, -0.125358617664367
1959-04, -0.111093815688754
1959-05, -0.00711883602358283
1959-06, 0.136098993420877
1959-07, 0.241746583969637
1959-08, 0.142387208433859
1959-09, 0.265403612574258
1959-10, 0.742218824962885
1959-11, 0.871675942592811
1959-12, 0.870442678553697
1960-01, 0.751983842497588
1960-02, 0.248091093872015
1960-03, -0.257103616845313
1960-04, -0.359215044343024
1960-05, -0.181627530681173
1960-06, -0.361017348008245
1960-07, -0.173737748907866
1960-08, -0.251855672069443
1960-09, -0.178561211579339
1960-10, 0.225060725746507
1960-11, 0.32140946117569
1960-12, 0.507917258101607
1961-01, 0.326341542852412
1961-02, 0.0999402065112959
1961-03, -0.0868435579404141
1961-04, -0.0111496215032714
1961-05, -0.0590250708704005
1961-06, -0.138708865107868
1961-07, -0.441107342489621
1961-08, -0.160904703166253
1961-09, -0.222411646404553
1961-10, -0.666922921787842
1961-11, 0.148802733051633
1961-12, 0.390267272665991
1962-01, 0.527805561695523
1962-02, 0.608025538490866
1962-03, 0.635403560048034
1962-04, 0.758208783202961
1962-05, 1.04559277717495
1962-06, 0.846177841720599
1962-07, 0.73294815684893
1962-08, 0.841895982499897
1962-09, 0.868149322091984
1962-10, 0.444926604831349
1962-11, 0.332297580772364
1962-12, 0.10311727582699
1963-01, 0.244968481694062
1963-02, 0.20123847356905
1963-03, 0.788868772547947
1963-04, 1.03970246865264
1963-05, 1.35279156607418
1963-06, 1.56596288724371
1963-07, 1.61164837375736
1963-08, 1.70545022449996
1963-09, 1.65568998572877
1963-10, 1.69628129239693
1963-11, 0.945801917689966
1963-12, 1.12900339363894
1964-01, 0.942256581076439
1964-02, 0.691520705011962
1964-03, 0.882805219698998
1964-04, 0.955930942408766
1964-05, 0.651736850380339
1964-06, 1.23444362444845
1964-07, 1.14897347535902
1964-08, 1.0529029912108
1964-09, 0.934300167574275
1964-10, 1.06837485367159
1964-11, 1.18533954393571
1964-12, 1.06241396100718
1965-01, 0.896271493306273
1965-02, 0.797096025944573
1965-03, 0.172812386397103
1965-04, -0.119581600537766
1965-05, -0.451150856399022
1965-06, -0.454991443745743
1965-07, -0.417631601899311
1965-08, -0.956092324862898
1965-09, -0.789802974125453
1965-10, -0.595368393113844
1965-11, -0.630272685431442
1965-12, -1.07446925090154
1966-01, -1.07337409376022
1966-02, -0.758901146852797
1966-03, -0.827732067984856
1966-04, -0.667223662190059
1966-05, -0.699943836462611
1966-06, -1.17371339688446
1966-07, -1.19783617429509
1966-08, -1.10106311486541
1966-09, -1.00524141306583
1966-10, -1.12436069020848
1966-11, -0.947586410283679
1966-12, -0.79210401025505
1967-01, -0.533067479646953
1967-02, -0.226070091573321
1967-03, 0.018194101361733
1967-04, -0.0746195574167638
1967-05, -0.0775589043144794
1967-06, -0.0417785145909392
1967-07, -0.180295705101633
1967-08, 0.122440683234661
1967-09, 0.117380614780645
1967-10, -0.0874155297380992
1967-11, 0.0810312965995597
1967-12, 0.064816696328347
1968-01, 0.27206768278483
1968-02, 0.0611650738116176
1968-03, -0.0262869556696401
1968-04, -0.460198425277592
1968-05, -0.370711842502546
1968-06, -0.538565229717451
1968-07, -0.468476898700154
1968-08, -0.597769873436704
1968-09, -0.694423301600064
1968-10, -0.848215436309905
1968-11, -1.20422051783704
1968-12, -1.18528767277631
1969-01, -1.49338663972372
1969-02, -1.1318003458266
1969-03, -1.28545097399061
1969-04, -0.994082777720489
1969-05, -0.998382930628555
1969-06, -0.98537595142314
1969-07, -0.972525357819191
1969-08, -1.04507642281699
1969-09, -1.12527581138963
1969-10, -1.24833961465876
1969-11, -0.963701494450417
1969-12, -0.951023318203953
1970-01, -0.940422165217145
1970-02, -0.78420116612735
1970-03, -0.643905109318463
1970-04, -0.591162979241865
1970-05, -0.81942783459826
1970-06, -0.707168502519539
1970-07, -0.850348414303524
1970-08, -0.875844144257697
1970-09, -0.54494555912755
1970-10, -0.553406895360337
1970-11, -0.349811272532377
1970-12, 0.02384142625579
1971-01, 0.181851548824066
1971-02, 0.0388821303887351
1971-03, 0.0299471129170927
1971-04, -0.164455254756841
1971-05, -0.0557818141497567
1971-06, -0.273329621880255
1971-07, -0.347335734127792
1971-08, -0.338842126607337
1971-09, -0.340947573403617
1971-10, -0.46052430655397
1971-11, -0.88197705256983
1971-12, -0.651046859675209
1972-01, -0.164679710147736
1972-02, -0.040852276613727
1972-03, -0.0492756103709945
